STAID,ECO3_SITE,HLR100M_SITE,HUC8_SITE,NUTR_ECO_SITE,USDA_LRR_SITE,ECO2_BAS_DOM,ECO3_BAS_DOM,ECO3_BAS_PCT,HLR_BAS_DOM_100M,HLR_BAS_PCT_100M,NUTR_BAS_DOM,NUTR_BAS_PCT,PNV_BAS_DOM,PNV_BAS_PCT
1011000,58,16,1010002,8,R,5.3,58,100,11,77.2,8,100,51,66
1013500,82,16,1010003,8,R,5.3,82,59,11,41.8,8,100,53,30.4
1015800,82,7,1010004,8,R,5.3,82,63.2,7,55.9,8,100,51,47
1016500,82,7,1010004,8,R,5.3,58,71.8,11,46,8,100,51,49.5
1017000,82,9,1010004,8,R,5.3,82,65.9,7,47.8,8,100,51,51.4
1017060,82,9,1010004,8,R,5.3,82,100,9,98.4,8,100,51,100
1017290,82,9,1010004,8,R,5.3,82,100,11,44.9,8,100,51,53.5
1017550,82,9,1010005,8,R,5.3,82,100,9,98.6,8,100,51,98.4
1017960,82,9,1010005,8,R,5.3,82,100,9,52.9,8,100,51,85.2
1018000,82,16,1010005,8,R,5.3,82,100,7,40.9,8,100,51,91
1018009,82,7,1010005,8,R,5.3,82,100,7,98.4,8,100,51,98.7
1019000,82,7,1050001,8,R,5.3,82,100,16,55.9,8,100,53,36.9
1021200,82,7,1050002,8,R,5.3,82,100,7,88.2,8,100,51,43.3
1021470,82,2,1050002,8,R,5.3,82,100,2,98.1,8,100,51,99.7
1021480,82,7,1050002,8,R,5.3,82,100,7,100,8,100,51,64.4
1021500,82,7,1050002,8,R,5.3,82,100,7,75.1,8,100,51,41.2
1022260,82,7,1050002,8,R,5.3,82,100,7,61.6,8,100,51,62.8
1022330,82,2,1050002,8,R,5.3,82,100,7,51,8,100,53,38.8
1022500,82,7,1050002,8,R,5.3,82,100,7,52.8,8,100,51,34.4
1023000,82,16,1050002,8,R,5.3,82,100,7,60.1,8,100,52,45.6
1027200,58,16,1020001,8,R,5.3,58,99,11,75.5,8,99.1,51,66.7
1029200,82,11,1020002,8,R,5.3,82,100,7,80.5,8,100,51,72.9
1029500,82,7,1020002,8,R,5.3,58,57,7,38.5,8,100,51,53.7
1030000,82,7,1020005,8,R,5.3,58,73.3,7,37.3,8,99.3,51,56
1030500,82,16,1020003,8,R,5.3,82,100,7,66.4,8,100,53,58.4
1031300,58,16,1020004,8,R,5.3,58,100,16,62.4,8,100,53,69.2
1031450,82,16,1020004,8,R,5.3,82,69.4,16,94.1,8,100,51,48.8
1031500,82,16,1020004,8,R,5.3,58,54.2,16,74.1,8,100,51,41.2
1031510,82,7,1020004,8,R,5.3,82,100,7,98.1,8,100,51,67.5
1033000,82,11,1020004,8,R,5.3,58,56.8,16,77.1,8,100,51,52.5
1033500,82,16,1020004,8,R,5.3,58,70.7,16,84.4,8,100,51,38.4
1034000,82,7,1020004,8,R,5.3,82,50.6,16,67.4,8,100,51,53.6
1034500,82,7,1020005,8,R,5.3,82,54.1,7,45,8,99.6,51,46.7
1035000,82,7,1020005,8,R,5.3,82,100,7,68.7,8,100,51,77.8
1036500,82,7,1020005,8,R,5.3,82,100,11,49.3,8,100,51,73.2
1037380,82,7,1050002,8,R,5.3,82,100,7,99.8,8,100,51,58.9
1038000,82,11,1050003,8,R,5.3,82,100,7,70.7,8,100,53,42.8
1041000,58,7,1030001,8,R,5.3,58,99.7,16,52.9,8,99.8,51,47.5
1042500,58,16,1030001,8,R,5.3,58,99.8,16,50.2,8,99.8,51,51.8
1043500,58,16,1030002,8,R,5.3,58,99.7,16,83.2,8,99.8,51,43.6
1044550,58,16,1030002,8,R,5.3,58,100,16,89.4,8,100,51,55.3
1045000,58,16,1030002,8,R,5.3,58,99.8,16,86,8,99.9,51,49.9
1046000,58,16,1030003,8,R,5.3,58,100,11,35.9,8,100,51,57
1046500,58,16,1030003,8,R,5.3,58,99.8,16,63.4,8,99.8,51,51.2
1047000,82,7,1030003,8,R,5.3,58,97.5,16,87.3,8,100,50,37.6
1047150,82,7,1030003,8,R,5.3,58,95.3,16,66,8,99.9,51,48.3
1047200,58,16,1030003,8,R,5.3,58,100,16,100,8,100,43,80.9
1048000,82,11,1030003,8,R,5.3,58,70.9,16,91,8,100,50,30
1048220,82,16,1030003,8,R,5.3,82,76,16,99.4,8,100,51,79.8
1049000,82,7,1030003,8,R,5.3,82,100,7,48.6,8,100,53,49.6
1049265,82,11,1030003,8,R,5.3,58,64.5,16,55.2,8,99.9,51,34.2
1049500,82,11,1030003,8,R,5.3,82,100,7,59.1,8,100,53,51.8
1052500,58,16,1040001,8,R,5.3,58,100,16,99.8,8,100,43,61
1053500,58,16,1040001,8,R,5.3,58,99.7,16,83.9,8,99.7,43,47.9
1053600,58,16,1040001,8,R,5.3,58,99.7,16,85.7,8,99.7,43,45.7
1054000,58,16,1040001,8,R,5.3,58,99.7,16,87.4,8,99.8,43,42.4
1054200,58,16,1040002,8,R,5.3,58,100,18,35.5,8,100,43,41.8
1054300,58,16,1040002,8,R,5.3,58,100,16,79.6,8,100,51,35.4
1054500,58,16,1040002,8,R,5.3,58,99.8,16,81.9,8,99.8,43,38.8
1055000,58,16,1040002,8,R,5.3,58,100,16,100,8,100,43,47.6
1055500,82,7,1040002,8,R,5.3,58,69.7,16,89.8,8,100,51,85
1057000,58,16,1040002,8,R,5.3,58,100,16,99.6,8,100,50,66.3
1058500,82,7,1040002,8,R,5.3,58,93.4,16,70.2,8,100,51,66.2
1059000,82,16,1040002,8,R,5.3,58,88.8,16,79.4,8,99.9,51,42.8
1059800,82,7,1060001,8,R,5.3,58,60.4,7,100,8,100,50,96.3
1060000,82,11,1060001,8,R,5.3,82,84.9,7,50.6,8,100,50,86.2
1064000,59,7,1060001,14,R,5.3,58,99.7,16,64.4,8,99.7,50,72.6
