site_no,q.cfs,da.sq.mi,record.start,record.end,record.length,record.gap
10263500,88,22.899990505343975,1950,2019,69,1
10264000,249.02,48.9999796839238,1950,2005,55,24
10264600,3.501,15.79999344910196,1958,1986,28,1
10264750,3.2,34.159985836792586,1959,1979,20,1
10276000,167,32.59998648359012,1950,1978,28,1
10277500,675,1975.999180723131,1950,1975,25,1
10281800,49,18.09999249549022,1950,1978,28,1
10286000,70.02,40.09998337398662,1951,1978,27,1
10287400,201,51.299978730312056,1950,1979,29,1
10287900,280,34.89998552997837,1950,1979,29,1
10289000,52,63.59997363056231,1954,2009,55,30
10289500,148,19.499991915030897,1954,2015,61,30
10290500,266,39.09998378860042,1954,2015,61,20
10291500,298,44.09998171553142,1954,2015,61,17
10292000,52,52.79997810839135,1954,2006,52,31
10293500,369,1099.9995439248198,1950,2019,69,17
10295500,273,63.09997383786922,1950,2008,58,10
10296000,1680,180.99992495490218,1950,2019,69,1
10296500,1580,249.99989634654995,1958,2019,61,1
10297500,692,496.9997939369414,1958,2019,61,1
10299100,24,50.39997910346447,1966,2015,49,37
10300000,580,963.9996003122968,1950,2019,69,17
10308200,1840,275.99988556659116,1961,2019,58,1
10308783,2.511,4.1599982752065925,1999,2019,20,1
10308789,5.37,7.069997068680433,1999,2019,20,1
103087891,0.39,0.54999977196241,2004,2019,15,1
10308794,13,21.399991127264677,1999,2019,20,1
10308800,28,31.4999869396653,1962,2016,54,15
10309000,1880,355.99985239748713,1950,2019,69,1
10310000,605,65.39997288425748,1950,2019,69,1
10310400,5.36,3.819998416175283,1966,2019,53,7
10310407,1530,671.9997213795264,2002,2019,17,1
10310500,19,15.4999935734861,1950,2019,69,28
10311000,1870,885.9996326521731,1950,2019,69,1
10311090,1.601,1.8299992412567458,1990,2010,20,1
10311100,3,4.059998316667971,1977,2019,42,2
10311200,8.82,5.19999784400824,1977,2019,42,1
10311300,52.4,34.39998573728527,1986,2019,33,1
10311400,2650,957.9996027999795,1980,2019,39,6
10336580,316,14.089994158091557,1991,2011,20,1
10336600,525,33.09998627628322,1961,1986,25,1
103366092,617,39.299983705677654,1991,2019,28,1
10336610,573,54.89997723770237,1972,2019,47,7
10336626,269,16.699993075949536,1969,1992,23,1
10336645,162,7.439996915273328,1981,2019,38,1
10336660,295,11.199995356325438,1961,2019,58,1
10336674,166,4.9599979435155515,1992,2011,19,1
10336676,248,9.699995978246138,1973,2019,46,1
10336698,41.2,6.04999749158651,1970,2019,49,5
103366993,12.6,2.8499988183506697,1991,2010,19,1
10336700,16.3,6.739997205502988,1970,2019,49,15
10336715,8.5023,2.859998814204532,1974,2018,44,1
10336730,5.7,4.109998295937282,1972,2019,47,13
10336740,2.121,2.0899991334571575,1984,2011,27,1
103367592,1.51,0.629999738793306,1990,2010,20,5
10336760,10.8,5.609997674016582,1993,2012,19,1
10336770,40,7.39999693185788,1991,2010,19,1
10336775,52.6,23.69999017365294,1991,2014,23,1
10336780,117,36.699984783673536,1961,2019,58,1
10337500,455.22,506.9997897908034,1950,2019,69,1
10338000,880,552.9997707185686,1950,2019,69,17
10342000,700,36.49998486659629,1950,1972,22,1
10343000,134,8.099996641628218,1969,2019,50,1
10343500,60,10.4999956465551,1954,2019,65,1
10344400,786,145.99993946638517,1950,2019,69,2
10346000,2300,931.9996135799383,1950,2019,69,1
10347310,104,24.19998996634604,1993,2019,26,7
10347460,2060,1034.999570874717,1994,2019,25,2
10347600,51.6,11.499995231941298,1962,2019,57,22
10348000,2231,1066.9995576070753,1950,2019,69,1
10348200,2121,1069.999556363234,1978,2019,41,1
10348460,13.6,3.2399986566512884,1975,2018,43,1
10348850,42,7.689996811619878,1985,2019,34,7
10348900,49,8.4999964757827,1962,1994,32,1
10349300,50.02,122.99994900250258,1962,2019,57,1
10349495,18.41,139.999941954068,2002,2008,6,1
10349980,233.1,243.9998988342328,1978,2019,41,3
10350000,2310,1430.999406687652,1950,2019,69,5
10350340,1720,1579.999344910196,1998,2019,21,1
10350400,2080,1589.999340764058,1973,1996,23,1
10353770,13.001,30.9999871469722,1974,2000,26,1
10356500,648.1,183.99992371106077,1951,1994,43,1
10358500,259,89.99996268475799,1951,1994,43,1
10359300,358,225.99990629728117,1961,1982,21,2
10360900,145,25.599989385886715,1961,1982,21,1
10370000,378,62.9999738793306,1951,1973,22,1
10371000,211,66.99997222087539,1951,1973,22,2
10371500,1100,248.9998967611638,1950,1991,41,1
10378500,344,169.99992951565397,1950,1991,41,1
11181390,131,7.789996770158497,1976,1995,19,1
11182100,125,9.999995853861998,1950,1977,27,1
11186000,2490,845.9996492367252,1961,2019,58,1
11187000,3180,1008.9995816546757,1954,1993,39,1
11189500,472.1,529.999780254686,1950,2019,69,4
11192500,1471,2257.9990638020395,1951,2019,68,7
11194000,1950,2406.999002024583,1950,1976,26,1
11195500,12,48.799979766846555,1960,1981,21,1
11196400,40,164.999931588723,1962,1982,20,1
11196420,16,53.199977942545836,1963,1985,22,1
11197250,79.004,57.09997632555202,1962,1986,24,1
11197800,236.04,229.99990463882597,1960,1985,25,1
11199500,111.01,90.59996243598971,1950,2005,55,19
11200800,246,83.29996546267044,1969,2019,50,1
11202000,207,39.299983705677654,1950,2019,69,7
11203580,121,20.09999166626262,2001,2019,18,1
11204100,459,95.79996027999795,2001,2019,18,1
