DWRName,DWRCode,model.name,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,all.coeff.sign
South Lahontan,7,da.sq.mi + precip.in,0.8638946765239068,0.8185262353652092,0.34334825927974866,19.041753572753898,0.002521304716167936,3,-1.324763688684691,10.649527377369381,11.438425686714261,0.707328162902601,6,1
South Lahontan,7,da.sq.mi + elev.ft + precip.in,0.9074835260420611,0.8519736416672977,0.310096920292533,16.348142970635205,0.0051251654909647325,4,0.41242665157196273,9.175146696856075,10.161269583537173,0.4808004998745679,5,0
South Lahontan,7,da.sq.mi + relief.ft + precip.in,0.9326930092574748,0.8923088148119597,0.2644953272425817,23.09549619754903,0.002335981155353839,4,1.8439784411928806,6.312043117614239,7.298166004295338,0.3497888906658018,5,0
South Lahontan,7,da.sq.mi + slope.pct + precip.in,0.9410920152726484,0.9057472244362375,0.2474429015955708,26.626045677519468,0.001679273823960553,4,2.4437720111329604,5.112455977734079,6.0985788644151775,0.30613994775017667,5,0
South Lahontan,7,da.sq.mi + elev.ft + slope.pct + precip.in,0.9535216101386643,0.9070432202773286,0.2457358166535526,20.51537527404484,0.0062799131511686365,5,3.5102232995107383,4.979553400978523,6.16290086499584,0.24154436634555365,4,0
South Lahontan,7,da.sq.mi + relief.ft + slope.pct + precip.in,0.9472994772469455,0.894598954493891,0.2616678614307569,17.975143846026512,0.00803930021822822,5,2.9448527292390545,6.110294541521891,7.2936420055392075,0.2738802788229831,4,0
South Lahontan,7,da.sq.mi + precip.in.8,0.6946232129256574,0.5928309505675433,0.5142985556438409,6.82392941107755,0.028477906807440986,3,-4.961291800977737,17.922583601955473,18.711481911300353,1.5870180260240454,6,0
South Lahontan,7,da.sq.mi + elev.ft.8 + precip.in.8,0.7296879485033159,0.5675007176053053,0.5300546163371392,4.499046839033657,0.06947660292802152,4,-4.4124297543099384,18.824859508619877,19.810982395300975,1.4047894815015594,5,0
South Lahontan,7,da.sq.mi + relief.ft.8 + precip.in.8,0.7269169215873501,0.5630670745397601,0.532764540917093,4.436482149270594,0.0711822754273736,4,-4.458325378051506,18.91665075610301,19.902773642784112,1.4191902802930045,5,0
South Lahontan,7,da.sq.mi + slope.pct.8 + precip.in.8,0.7286507382497266,0.5658411811995625,0.5310705749359196,4.475478905855744,0.07011236979086224,4,-4.429663592990156,18.859327185980312,19.84545007266141,1.4101797778138407,5,0
South Lahontan,7,da.sq.mi + elev.ft.8 + slope.pct.8 + precip.in.8,0.729764876234627,0.4595297524692541,0.5925347446382506,2.700481218230659,0.17961213362972858,5,-4.411148923296181,20.822297846592363,22.00564531060968,1.4043896944140677,4,0
South Lahontan,7,da.sq.mi + relief.ft.8 + slope.pct.8 + precip.in.8,0.7297648762346254,0.45952975246925076,0.5925347446382526,2.7004812182306357,0.17961213362973058,5,-4.411148923296209,20.82229784659242,22.005645310609736,1.4043896944140768,4,0
North Lahontan and Desert,6,da.sq.mi + precip.in,0.8696309780316753,0.8638367992775275,0.34385167456772503,150.08701231544674,1.234309772934695e-20,3,-15.317970214115483,38.63594042823097,46.12074447186253,5.320528834636291,45,1
North Lahontan and Desert,6,da.sq.mi + elev.ft + precip.in,0.8791089365494041,0.8708663640414089,0.33485821482453515,106.65468040428911,3.288101868183583e-20,4,-13.50646889433582,37.012937788671636,46.368942843211094,4.933721057560879,44,0
North Lahontan and Desert,6,da.sq.mi + relief.ft + precip.in,0.8749482841977027,0.866422030847546,0.3405718011036396,102.61814284249813,6.906623510549526e-20,4,-14.31856985767818,38.637139715356355,47.993144769895814,5.10352267510699,44,0
