DWRName,DWRCode,model.name,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,all.coeff.sign,best.adj.r.squared,best.sigma,best.AIC
South Lahontan,7,da.sq.mi + precip.in,0.8638946765239068,0.8185262353652092,0.34334825927974866,19.041753572753898,0.002521304716167936,3,-1.324763688684691,10.649527377369381,11.438425686714261,0.707328162902601,6,1,1,1,1
North Lahontan and Desert,6,da.sq.mi + precip.in,0.8696309780316753,0.8638367992775275,0.34385167456772503,150.08701231544674,1.234309772934695e-20,3,-15.317970214115483,38.63594042823097,46.12074447186253,5.320528834636291,45,1,1,1,1
North Lahontan and Desert,6,da.sq.mi + relief.ft.8 + precip.in.8,0.7669073984953115,0.7510147211199919,0.46497339405986754,48.25539337294233,5.778291631791431e-14,4,-29.26357212492307,68.52714424984615,77.8831493043856,9.512811316076327,44,1,0,0,0
North Lahontan and Desert,6,da.sq.mi + slope.pct.8 + precip.in.8,0.7710793495779292,0.755471123412788,0.460793499960828,49.40211279741886,3.893630781268798e-14,4,-28.83012331306202,67.66024662612404,77.0162516806635,9.342548582670585,44,1,0,0,0
San Joaquin and Tulare,5,da.sq.mi + precip.in,0.7518285602657078,0.745297732904279,0.30856854940022327,115.11995627170141,1.0013096646652047e-23,3,-17.677831506066468,43.355663012132936,52.833454422001026,7.236305775600811,76,1,0,0,0
San Joaquin and Tulare,5,da.sq.mi + elev.ft + precip.in,0.8086615341295453,0.8010079954947271,0.2727426569870144,105.65851597726405,7.35483826622355e-27,4,-7.4048348706708556,24.80966974134171,36.656909003676816,5.579141770525213,75,1,0,0,0
San Joaquin and Tulare,5,da.sq.mi + relief.ft + precip.in,0.8181208932817916,0.8108457290130633,0.2659153020672552,112.45394097813201,1.1048115886029529e-27,4,-5.402117134735307,20.804234269470612,32.65147353180572,5.303321090513969,75,1,1,1,1
San Joaquin and Tulare,5,da.sq.mi + slope.pct + precip.in,0.7766215990840348,0.7676864630473962,0.2946948267410223,86.91771405600215,2.396280998437491e-24,4,-13.520353881879057,37.040707763758114,48.88794702609322,6.513378068094087,75,1,0,0,0
San Joaquin and Tulare,5,da.sq.mi + precip.in.8,0.7032717932483535,0.6954631562285734,0.3374078439813461,90.0633223783979,8.905034677194433e-21,3,-24.73635488678523,57.47270977357046,66.95050118343855,8.65214804169067,76,1,0,0,0
San Joaquin and Tulare,5,da.sq.mi + elev.ft.8 + precip.in.8,0.795555591948604,0.7873778156265482,0.28192886395643324,97.28263046311916,8.752344585484366e-26,4,-10.021795303591237,30.043590607182473,41.89082986951758,5.961291324882378,75,1,0,0,0
San Joaquin and Tulare,5,da.sq.mi + relief.ft.8 + precip.in.8,0.7485202119898993,0.7384610204694952,0.312682421070152,74.41156781552509,2.0027455427861814e-22,4,-18.200923052465882,46.401846104931764,58.24908536726687,7.332772233471887,75,1,0,0,0
San Joaquin and Tulare,5,da.sq.mi + slope.pct.8 + precip.in.8,0.7643932128840899,0.7549689413994535,0.30265358438200124,81.10899756338895,1.754706659988526e-23,4,-15.62558777754891,41.25117555509782,53.098414817432925,6.869939410445486,75,1,0,0,0
Sacramento River,4,da.sq.mi + precip.in,0.720039664889335,0.7132113640329774,0.3644046894546124,105.44931748561164,2.1426769232524006e-23,3,-33.275994130466266,74.55198826093253,84.3225932868938,10.888843771114026,82,1,0,0,0
Sacramento River,4,da.sq.mi + elev.ft + precip.in,0.7967712100819324,0.7892442178627448,0.3123868452282391,105.85519246995044,6.103350651266799e-28,4,-19.662583490088196,49.32516698017639,61.53842326262797,7.904428826803796,81,1,0,0,0
Sacramento River,4,da.sq.mi + slope.pct + precip.in,0.7507775284114343,0.7415470665007466,0.34593437624845236,81.33694019604117,2.298449614385415e-24,4,-28.333160190686,66.666320381372,78.87957666382358,9.69331800630287,81,1,0,0,0
Sacramento River,4,da.sq.mi + elev.ft + slope.pct + precip.in,0.827373113285574,0.8187417689498526,0.2897022422875035,95.85680759617522,1.0399854462037713e-29,5,-12.726589987860244,37.45317997572049,52.10908751466239,6.71419113491259,80,1,1,1,1
Sacramento River,4,da.sq.mi + elev.ft.8 + precip.in.8,0.7475061331245156,0.7381545084254236,0.34819741157495576,79.9332904363767,3.889502797041785e-24,4,-28.887402735591632,67.77480547118327,79.98806175363484,9.82055643162743,81,1,0,0,0
Sacramento River,4,da.sq.mi + relief.ft.8 + precip.in.8,0.6961399022308913,0.6848858245357392,0.3819767754675018,61.856681736857176,6.793123437892306e-21,4,-36.7575710936486,83.5151421872972,95.72839846974878,11.818406816720573,81,1,0,0,0
North Coast,1,da.sq.mi + precip.in,0.8540397856605015,0.8485318530439167,0.27133019163293526,155.05632423478016,7.115641343506887e-23,3,-4.871432392401243,17.742864784802485,25.844271547743084,3.901863863252964,53,1,0,0,0
North Coast,1,da.sq.mi + elev.ft + precip.in,0.9265143843201786,0.9222748295694198,0.19436510929736162,218.54049276149146,1.8683137014562755e-29,4,14.34341075212042,-18.68682150424084,-8.560063050565091,1.9644453770331167,52,1,0,0,0
North Coast,1,da.sq.mi + relief.ft + precip.in,0.9013028281491042,0.8956087605423217,0.22525243395422148,158.28804474950823,3.947865120339069e-26,4,6.084345671943113,-2.168691343886225,7.958067109789523,2.6384102681196477,52,1,0,0,0
North Coast,1,da.sq.mi + slope.pct + precip.in,0.8667096525382653,0.8590198248000882,0.26176795992254964,112.70859140776174,9.573289230386832e-23,4,-2.3289128988873644,14.657825797774729,24.784584251450475,3.5631681717847044,52,1,0,0,0
