NFDName,NFDCode,model.name,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,all.coeff.sign
Xeric,3,da.sq.mi + precip.in,0.825379902913168,0.8219220792084783,0.353536737502201,238.6992436293758,5.3181230286713653e-39,3,-37.9116886772895,83.823377354579,94.40094095114449,12.623810701133719,101,1
Xeric,3,da.sq.mi + elev.ft + precip.in,0.890825389650075,0.8875501513395772,0.2809370057513605,271.9879609354877,6.118929153692391e-48,4,-13.489149754811294,36.97829950962259,50.20025400532945,7.892560120053994,100,1
Xeric,3,da.sq.mi + relief.ft + precip.in,0.8752431229971729,0.8715004166870881,0.30031731427265834,233.85300648325241,4.78707748609566e-45,4,-20.426902866105987,50.853805732211974,64.07576022791883,9.019048925194264,100,1
Xeric,3,da.sq.mi + slope.pct + precip.in,0.8530235535054014,0.8486142601105634,0.3259657691432907,193.46037496712086,1.713070258362786e-41,4,-28.949988170635827,67.89997634127165,81.12193083697852,10.625368265317709,100,1
Xeric,3,da.sq.mi + elev.ft + slope.pct + precip.in,0.892771658060454,0.8884391998002703,0.27982423302856435,206.06584171052222,4.522600119363846e-47,5,-12.553777245771848,37.107554491543695,52.97389988639193,7.751858537612405,99,0
Xeric,3,da.sq.mi + relief.ft + slope.pct + precip.in,0.8774986588229761,0.8725491096845104,0.2990893497364199,177.28860433033395,3.2412199676668064e-44,5,-19.478169050014678,50.956338100029356,66.8226834948776,8.855989473449693,99,0
Xeric,3,da.sq.mi + precip.in.8,0.8549800870064779,0.8521084055610616,0.3221819882476639,297.7280395676129,4.488444212732395e-43,3,-28.25312150499129,64.50624300998258,75.08380660654808,10.483924588673002,101,1
Xeric,3,da.sq.mi + elev.ft.8 + precip.in.8,0.8620850564270849,0.8579476081198975,0.3157575815944283,208.36152923759698,7.148199392447439e-43,4,-25.640957677088643,61.281915354177286,74.50386984988415,9.970285033436205,100,1
Xeric,3,da.sq.mi + relief.ft.8 + precip.in.8,0.8647293818209757,0.860671263275605,0.3127158265485761,213.0862793072936,2.719281113461314e-43,4,-24.634248432801385,59.26849686560277,72.49045136130962,9.779118817395913,100,1
Xeric,3,da.sq.mi + slope.pct.8 + precip.in.8,0.8651527902380572,0.861107373945199,0.312226029546632,213.86001528826225,2.3253187617376607e-43,4,-24.471228791420998,58.942457582841996,72.16441207854885,9.74850935264543,100,1
Xeric,3,da.sq.mi + elev.ft.8 + slope.pct.8 + precip.in.8,0.866620175372734,0.86123109154941,0.31208694202575515,160.81029796233895,2.1597515030856414e-42,5,-23.90227206109648,59.80454412219296,75.67088951704119,9.642427678915718,99,0
Xeric,3,da.sq.mi + relief.ft.8 + slope.pct.8 + precip.in.8,0.8694402013135885,0.8641650579323192,0.308770117214995,164.81830700579133,7.522971853781217e-43,5,-22.791056341076576,57.58211268215315,73.44845807700139,9.438559543211213,99,0
Interior Mountains,2,da.sq.mi + precip.in,0.8276257780090651,0.8251093660091975,0.3571315659720415,328.89120623037473,4.992911312120179e-53,3,-52.98394525968146,113.96789051936292,125.73446020980015,17.47338489166904,137,1
Interior Mountains,2,da.sq.mi + elev.ft + precip.in,0.8443829502476687,0.8409502212090144,0.34057400521316666,245.98007612586505,9.881650584852283e-55,4,-45.825070274186686,101.65014054837337,116.3583526614199,15.774728811663579,136,1
Interior Mountains,2,da.sq.mi + relief.ft + precip.in,0.8350661290391559,0.8314278818856079,0.35062092724417854,229.52429942116402,5.124405263631692e-53,4,-49.89532048095421,109.79064096190842,124.49885307495495,16.719164708533185,136,1
Interior Mountains,2,da.sq.mi + slope.pct + precip.in,0.8280792477865881,0.8242868782524688,0.3579703524543713,218.35405024127604,8.57245666255282e-52,4,-52.79955161376643,115.59910322753286,130.30731534057938,17.42741716013773,136,0
Interior Mountains,2,da.sq.mi + elev.ft + slope.pct + precip.in,0.8498761411505479,0.8454280268142678,0.3357456059055068,191.06436500939756,1.5014840879089533e-54,5,-43.309445207696335,98.61889041539267,116.26874495104849,15.217890104455545,135,1
Interior Mountains,2,da.sq.mi + relief.ft + slope.pct + precip.in,0.8376358057693079,0.8328250148291392,0.3491649234717089,174.11602711215338,2.93809383134043e-52,5,-48.79613239326367,109.59226478652734,127.24211932218316,16.458679410705585,135,0
Interior Mountains,2,da.sq.mi + precip.in.8,0.779755217696568,0.7765399654001675,0.4036871198231778,242.51758363395555,9.750694675187404e-46,3,-70.13896790095869,148.27793580191738,160.0445054923546,22.325970827425184,137,1
Interior Mountains,2,da.sq.mi + elev.ft.8 + precip.in.8,0.7854744391937626,0.7807422577053897,0.39987332229391914,165.98569626369945,2.884635869159503e-45,4,-68.2972203858659,146.5944407717318,161.30265288477833,21.746219648003212,136,0
Interior Mountains,2,da.sq.mi + relief.ft.8 + precip.in.8,0.7797565788352913,0.7748982680743051,0.40516729342818325,160.4995269337203,1.7193282774777778e-44,4,-70.13853529136833,150.27707058273666,164.98528269578318,22.325832850293057,136,0
Interior Mountains,2,da.sq.mi + slope.pct.8 + precip.in.8,0.7813434197850156,0.7765201128685086,0.40370505151586306,161.99330320676697,1.0525564150306144e-44,4,-69.63236372547252,149.26472745094503,163.97293956399156,22.164976532241887,136,0
Interior Mountains,2,da.sq.mi + elev.ft.8 + slope.pct.8 + precip.in.8,0.7854909180732376,0.7791350934235557,0.4013361867945248,123.58599573897258,4.028500121664935e-44,5,-68.29184309718603,148.58368619437206,166.2335407300279,21.744549202153912,135,0
Interior Mountains,2,da.sq.mi + relief.ft.8 + slope.pct.8 + precip.in.8,0.7822197061940153,0.775766956747912,0.4043847484467673,121.22269936676211,1.1143843709125256e-43,5,-69.35126863608404,150.7025372721681,168.35239180782392,22.07614834480796,135,0
North Coastal Mountains,1,da.sq.mi + precip.in,0.8990462688650782,0.8935893104253527,0.21317168121585858,164.75226608291754,3.7693279965553405e-19,3,6.627986414427864,-5.255972828855729,1.4995449876000162,1.6813601298786387,37,1
North Coastal Mountains,1,da.sq.mi + elev.ft + precip.in,0.9458260403979026,0.9413115437643945,0.15831177726640525,209.50863787950675,7.687130168375015e-23,4,19.07722564355292,-28.154451287105843,-19.710054016536162,0.9022542775649245,36,1
North Coastal Mountains,1,da.sq.mi + relief.ft + precip.in,0.9369497932520789,0.9316956093564188,0.1707895098711805,178.3245146836205,1.174782672050491e-21,4,16.042605670163447,-22.085211340326893,-13.640814069757212,1.0500860405533703,36,1
North Coastal Mountains,1,da.sq.mi + slope.pct + precip.in,0.9157093830525096,0.9086851649735521,0.19747292133122263,130.36460040950362,2.1623617554814812e-19,4,10.235821433957321,-10.471642867914642,-2.0272455973449617,1.4038399677271405,36,1
North Coastal Mountains,1,da.sq.mi + elev.ft + slope.pct + precip.in,0.9495361459753402,0.943768848372522,0.1549620562608821,164.64143371261716,3.532533818262616e-22,5,20.4960861382147,-28.9921722764294,-18.858895551745782,0.8404633608210277,35,0
North Coastal Mountains,1,da.sq.mi + relief.ft + slope.pct + precip.in,0.944562598323487,0.9382268952747427,0.16241891178340956,149.08568016152316,1.821076787799185e-21,5,18.616142770954202,-25.232285541908404,-15.099008817224785,0.9232966016717443,35,1
North Coastal Mountains,1,da.sq.mi + precip.in.8,0.8316600333044155,0.8225605756451948,0.27527193867607785,91.39665949889515,4.835750473375886e-15,3,-3.598478418378903,15.196956836757806,21.95247465321355,2.803661688231996,37,1
North Coastal Mountains,1,da.sq.mi + elev.ft.8 + precip.in.8,0.888737002499184,0.8794650860407827,0.22687848458177218,95.85256796548188,3.155725715612764e-17,4,4.683297586683874,0.6334048266322512,9.077802097201932,1.8530584835803716,36,1
North Coastal Mountains,1,da.sq.mi + relief.ft.8 + precip.in.8,0.8946105439832216,0.8858280893151568,0.2208088704532229,101.86338305123759,1.1925628919891692e-17,4,5.76798063425231,-1.5359612685046198,6.908436002065061,1.7552360617498142,36,1
North Coastal Mountains,1,da.sq.mi + slope.pct.8 + precip.in.8,0.8623078224666937,0.8508334743389182,0.25239024706605284,75.15092037161892,1.442071909960983e-15,4,0.42082057880614254,9.158358842387715,17.602756112957394,2.2932301253062746,36,1
North Coastal Mountains,1,da.sq.mi + elev.ft.8 + slope.pct.8 + precip.in.8,0.8941556395326252,0.8820591411934967,0.22442385829671715,73.9185518374603,1.4224598420939527e-16,5,5.681838147897773,0.6363237042044538,10.769600428888072,1.7628123860474743,35,0
