NFDName,NFDCode,model.name,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,all.coeff.sign,best.adj.r.squared,best.sigma,best.AIC
Xeric,3,da.sq.mi + precip.in,0.825379902913168,0.8219220792084783,0.353536737502201,238.6992436293758,5.3181230286713653e-39,3,-37.9116886772895,83.823377354579,94.40094095114449,12.623810701133719,101,1,0,0,0
Xeric,3,da.sq.mi + elev.ft + precip.in,0.890825389650075,0.8875501513395772,0.2809370057513605,271.9879609354877,6.118929153692391e-48,4,-13.489149754811294,36.97829950962259,50.20025400532945,7.892560120053994,100,1,1,1,1
Xeric,3,da.sq.mi + relief.ft + precip.in,0.8752431229971729,0.8715004166870881,0.30031731427265834,233.85300648325241,4.78707748609566e-45,4,-20.426902866105987,50.853805732211974,64.07576022791883,9.019048925194264,100,1,0,0,0
Xeric,3,da.sq.mi + slope.pct + precip.in,0.8530235535054014,0.8486142601105634,0.3259657691432907,193.46037496712086,1.713070258362786e-41,4,-28.949988170635827,67.89997634127165,81.12193083697852,10.625368265317709,100,1,0,0,0
Xeric,3,da.sq.mi + precip.in.8,0.8549800870064779,0.8521084055610616,0.3221819882476639,297.7280395676129,4.488444212732395e-43,3,-28.25312150499129,64.50624300998258,75.08380660654808,10.483924588673002,101,1,0,0,0
Xeric,3,da.sq.mi + elev.ft.8 + precip.in.8,0.8620850564270849,0.8579476081198975,0.3157575815944283,208.36152923759698,7.148199392447439e-43,4,-25.640957677088643,61.281915354177286,74.50386984988415,9.970285033436205,100,1,0,0,0
Xeric,3,da.sq.mi + relief.ft.8 + precip.in.8,0.8647293818209757,0.860671263275605,0.3127158265485761,213.0862793072936,2.719281113461314e-43,4,-24.634248432801385,59.26849686560277,72.49045136130962,9.779118817395913,100,1,0,0,0
Xeric,3,da.sq.mi + slope.pct.8 + precip.in.8,0.8651527902380572,0.861107373945199,0.312226029546632,213.86001528826225,2.3253187617376607e-43,4,-24.471228791420998,58.942457582841996,72.16441207854885,9.74850935264543,100,1,0,0,0
Interior Mountains,2,da.sq.mi + precip.in,0.8276257780090651,0.8251093660091975,0.3571315659720415,328.89120623037473,4.992911312120179e-53,3,-52.98394525968146,113.96789051936292,125.73446020980015,17.47338489166904,137,1,0,0,0
Interior Mountains,2,da.sq.mi + elev.ft + precip.in,0.8443829502476687,0.8409502212090144,0.34057400521316666,245.98007612586505,9.881650584852283e-55,4,-45.825070274186686,101.65014054837337,116.3583526614199,15.774728811663579,136,1,0,0,0
Interior Mountains,2,da.sq.mi + relief.ft + precip.in,0.8350661290391559,0.8314278818856079,0.35062092724417854,229.52429942116402,5.124405263631692e-53,4,-49.89532048095421,109.79064096190842,124.49885307495495,16.719164708533185,136,1,0,0,0
Interior Mountains,2,da.sq.mi + elev.ft + slope.pct + precip.in,0.8498761411505479,0.8454280268142678,0.3357456059055068,191.06436500939756,1.5014840879089533e-54,5,-43.309445207696335,98.61889041539267,116.26874495104849,15.217890104455545,135,1,1,1,1
Interior Mountains,2,da.sq.mi + precip.in.8,0.779755217696568,0.7765399654001675,0.4036871198231778,242.51758363395555,9.750694675187404e-46,3,-70.13896790095869,148.27793580191738,160.0445054923546,22.325970827425184,137,1,0,0,0
North Coastal Mountains,1,da.sq.mi + precip.in,0.8990462688650782,0.8935893104253527,0.21317168121585858,164.75226608291754,3.7693279965553405e-19,3,6.627986414427864,-5.255972828855729,1.4995449876000162,1.6813601298786387,37,1,0,0,0
North Coastal Mountains,1,da.sq.mi + elev.ft + precip.in,0.9458260403979026,0.9413115437643945,0.15831177726640525,209.50863787950675,7.687130168375015e-23,4,19.07722564355292,-28.154451287105843,-19.710054016536162,0.9022542775649245,36,1,1,1,1
North Coastal Mountains,1,da.sq.mi + relief.ft + precip.in,0.9369497932520789,0.9316956093564188,0.1707895098711805,178.3245146836205,1.174782672050491e-21,4,16.042605670163447,-22.085211340326893,-13.640814069757212,1.0500860405533703,36,1,0,0,0
North Coastal Mountains,1,da.sq.mi + slope.pct + precip.in,0.9157093830525096,0.9086851649735521,0.19747292133122263,130.36460040950362,2.1623617554814812e-19,4,10.235821433957321,-10.471642867914642,-2.0272455973449617,1.4038399677271405,36,1,0,0,0
North Coastal Mountains,1,da.sq.mi + relief.ft + slope.pct + precip.in,0.944562598323487,0.9382268952747427,0.16241891178340956,149.08568016152316,1.821076787799185e-21,5,18.616142770954202,-25.232285541908404,-15.099008817224785,0.9232966016717443,35,1,0,0,0
North Coastal Mountains,1,da.sq.mi + precip.in.8,0.8316600333044155,0.8225605756451948,0.27527193867607785,91.39665949889515,4.835750473375886e-15,3,-3.598478418378903,15.196956836757806,21.95247465321355,2.803661688231996,37,1,0,0,0
North Coastal Mountains,1,da.sq.mi + elev.ft.8 + precip.in.8,0.888737002499184,0.8794650860407827,0.22687848458177218,95.85256796548188,3.155725715612764e-17,4,4.683297586683874,0.6334048266322512,9.077802097201932,1.8530584835803716,36,1,0,0,0
North Coastal Mountains,1,da.sq.mi + relief.ft.8 + precip.in.8,0.8946105439832216,0.8858280893151568,0.2208088704532229,101.86338305123759,1.1925628919891692e-17,4,5.76798063425231,-1.5359612685046198,6.908436002065061,1.7552360617498142,36,1,0,0,0
North Coastal Mountains,1,da.sq.mi + slope.pct.8 + precip.in.8,0.8623078224666937,0.8508334743389182,0.25239024706605284,75.15092037161892,1.442071909960983e-15,4,0.42082057880614254,9.158358842387715,17.602756112957394,2.2932301253062746,36,1,0,0,0
