site_no,q.cfs,da.sq.mi,record.start,record.end,record.length,record.gap
10263500,3.029,22.899990505343975,1950,2020,70,1
10264000,0.0168,48.9999796839238,1950,2005,55,26
10264600,0.02126,15.79999344910196,1959,1986,27,1
10264750,2.57e-4,34.159985836792586,1960,1979,19,1
10276000,8.3193,32.59998648359012,1950,1978,28,1
10277500,17.53,1975.999180723131,1950,1975,25,1
10281800,2.4265,18.09999249549022,1950,1978,28,1
10286000,0.1199,40.09998337398662,1952,1978,26,1
10287400,19.14,51.299978730312056,1950,1979,29,1
10287900,13.92,34.89998552997837,1950,1979,29,1
10289000,4,63.59997363056231,1955,2009,54,31
10289500,4.69,19.499991915030897,1955,2015,60,31
10290500,1.3327,39.09998378860042,1955,2015,60,20
10291500,13.71,44.09998171553142,1955,2015,60,18
10292000,2.23,52.79997810839135,1955,1975,20,1
10293500,26.86,1099.9995439248198,1950,2020,70,17
10295500,12.86,63.09997383786922,1950,2008,58,11
10296000,30.36,180.99992495490218,1950,2020,70,1
10296500,36.7,249.99989634654995,1959,2020,61,1
10297500,22.57,496.9997939369414,1959,2020,61,1
10299100,2.189,50.39997910346447,1966,2015,49,38
10300000,33.2,963.9996003122968,1950,2020,70,17
10308200,50.3,275.99988556659116,1962,2020,58,1
10308783,0.03063,4.1599982752065925,2000,2020,20,1
10308789,0.03116,7.069997068680433,2000,2020,20,1
103087891,0.0914,0.54999977196241,2005,2020,15,1
10308794,0.789,21.399991127264677,2000,2020,20,1
10308800,1.886,31.4999869396653,1963,2017,54,15
10309000,57.6,355.99985239748713,1950,2020,70,1
10310000,16.86,65.39997288425748,1950,2020,70,1
10310400,0.776,3.819998416175283,1967,2019,52,7
10310407,4.637,671.9997213795264,2003,2020,17,1
10310500,1.609,15.4999935734861,1950,2020,70,28
10311000,13.26,885.9996326521731,1950,2020,70,1
10311090,0.17198,1.8299992412567458,1990,2010,20,1
10311100,0.3286,4.059998316667971,1978,2020,42,3
10311200,1.599,5.19999784400824,1978,2020,42,1
10311300,0.04237,34.39998573728527,1986,2020,34,1
10311400,8.878,957.9996027999795,1980,2020,40,7
10336580,1.64,14.089994158091557,1991,2011,20,1
10336600,5.26,33.09998627628322,1962,1986,24,1
103366092,4.52,39.299983705677654,1992,2020,28,1
10336610,4.501,54.89997723770237,1973,2020,47,7
10336626,1.789,16.699993075949536,1970,1992,22,1
10336645,0.74,7.439996915273328,1982,2020,38,1
10336660,1.71,11.199995356325438,1962,2020,58,1
10336674,0.3032,4.9599979435155515,1993,2011,18,1
10336676,0.6704,9.699995978246138,1974,2020,46,1
10336698,1.543,6.04999749158651,1971,2020,49,6
103366993,1.283,2.8499988183506697,1991,2011,20,1
10336700,2.286,6.739997205502988,1971,2020,49,16
10336715,0.02084,2.859998814204532,1975,2018,43,1
10336730,0.10601,4.109998295937282,1973,2020,47,14
10336740,0.059126,2.0899991334571575,1985,2011,26,1
103367592,0.521,0.629999738793306,1991,2011,20,6
10336760,1.814,5.609997674016582,1994,2012,18,1
10336770,3.77,7.39999693185788,1991,2011,20,1
10336775,6.47,23.69999017365294,1992,2014,22,1
10336780,11.29,36.699984783673536,1962,2020,58,1
10337500,21.939,506.9997897908034,1950,2020,70,1
10338000,51.77,552.9997707185686,1950,2020,70,18
10342000,2.343,36.49998486659629,1950,1972,22,1
10343000,1.8571,8.099996641628218,1970,2020,50,1
10343500,1.84,10.4999956465551,1955,2020,65,1
10344400,26.429,145.99993946638517,1950,2020,70,4
10346000,298.6,931.9996135799383,1950,2020,70,1
10347310,0.461,24.19998996634604,1994,2020,26,7
10347460,234.71,1034.999570874717,1994,2020,26,3
10347600,4.21,11.499995231941298,1963,2020,57,23
10348000,180.82,1066.9995576070753,1950,2020,70,1
10348200,149.094,1069.999556363234,1978,2020,42,1
10348460,1.073,3.2399986566512884,1976,2018,42,1
10348850,4.143,7.689996811619878,1986,2020,34,8
10348900,0.45165,8.4999964757827,1963,1994,31,1
10349300,1.0743,122.99994900250258,1963,2020,57,1
10349495,0.00594,139.999941954068,2002,2009,7,1
10349980,13.8695,243.9998988342328,1979,2020,41,3
10350000,267.71,1430.999406687652,1950,2020,70,6
10350340,301.9,1579.999344910196,1998,2020,22,1
10350400,252.7,1589.999340764058,1973,1997,24,1
10353770,9.75e-4,30.9999871469722,1975,2000,25,1
10356500,3.876,183.99992371106077,1952,1994,42,1
10358500,10,89.99996268475799,1952,1994,42,1
10359300,0.0226,225.99990629728117,1962,1982,20,5
10360900,3.1,25.599989385886715,1962,1982,20,1
10370000,4.24,62.9999738793306,1952,1973,21,1
10371000,4.21,66.99997222087539,1952,1973,21,3
10371500,12,248.9998967611638,1950,1991,41,1
10378500,0.293,169.99992951565397,1951,1991,40,1
11181390,0.01511,7.789996770158497,1977,1996,19,1
11182100,0.00363,9.999995853861998,1950,1977,27,1
11186000,41.286,845.9996492367252,1962,2019,57,1
11187000,154.6,1008.9995816546757,1955,1993,38,1
11189500,4.451,529.999780254686,1950,2020,70,4
11192500,17.095,2257.9990638020395,1952,2019,67,8
11194000,174,2406.999002024583,1950,1976,26,1
11195500,0.8,48.799979766846555,1960,1981,21,1
