DWRName,DWRCode,model.name,term,estimate,std.error,statistic,p.value
South Lahontan,7,da.sq.mi,(Intercept),-0.853011161980394,1.067220975984962,-0.7992826051728705,0.45459562661269637
South Lahontan,7,da.sq.mi,da.sq.mi,0.7184936842969447,0.5931912069228287,1.2112345495209225,0.2713423215185506
South Lahontan,7,da.sq.mi + elev.ft.8,(Intercept),-14.94461648645799,8.329782828142884,-1.7941183815700843,0.13275911273611665
South Lahontan,7,da.sq.mi + elev.ft.8,da.sq.mi,0.4947215410813638,0.5334722110457863,0.9273614085943519,0.39629945335939354
South Lahontan,7,da.sq.mi + elev.ft.8,elev.ft.8,3.8687076671166594,2.2725540723908675,1.7023611073185774,0.14942127901049915
South Lahontan,7,da.sq.mi + relief.ft.8,(Intercept),9.481657622113307,19.1761023014983,0.4944517646514886,0.641943364915055
South Lahontan,7,da.sq.mi + relief.ft.8,da.sq.mi,0.8526945164569119,0.6788082406225944,1.2561640614068432,0.2645536812650049
South Lahontan,7,da.sq.mi + relief.ft.8,relief.ft.8,-2.674764705011892,4.954335141935067,-0.5398836833567907,0.612444497931615
South Lahontan,7,da.sq.mi + slope.pct.8,(Intercept),-1.9970729841301913,3.272669029330178,-0.6102276051235572,0.5683789033646172
South Lahontan,7,da.sq.mi + slope.pct.8,da.sq.mi,0.6106938196407187,0.7029039127519585,0.8688155074422256,0.424679955780425
South Lahontan,7,da.sq.mi + slope.pct.8,slope.pct.8,1.0245500008691701,2.742847277201704,0.373535198034953,0.724064457227913
South Lahontan,7,da.sq.mi + precip.in.8,(Intercept),-7.326299365901177,3.0632965853793173,-2.391638929403235,0.06226130896581885
South Lahontan,7,da.sq.mi + precip.in.8,da.sq.mi,0.6616022309986596,0.46432632745176966,1.4248647812617976,0.21350919980828487
South Lahontan,7,da.sq.mi + precip.in.8,precip.in.8,6.116624775397416,2.7851548792321146,2.1961524728864665,0.07947812810297078
South Lahontan,7,da.sq.mi + elev.ft.8 + precip.in.8,(Intercept),-3.359952838684443,13.861399211788747,-0.2423963690351616,0.8203942826228178
South Lahontan,7,da.sq.mi + elev.ft.8 + precip.in.8,da.sq.mi,0.7408342507155209,0.5795232933779519,1.278351119240285,0.27026297450437736
South Lahontan,7,da.sq.mi + elev.ft.8 + precip.in.8,elev.ft.8,-1.7179408173720088,5.821659927439495,-0.2950946703834004,0.7826044793327818
South Lahontan,7,da.sq.mi + elev.ft.8 + precip.in.8,precip.in.8,8.28156673970834,7.956946584783108,1.0407970760474925,0.3567410195513014
South Lahontan,7,da.sq.mi + relief.ft.8 + precip.in.8,(Intercept),-3.985951304170565,17.235365270758088,-0.2312658444746292,0.8284565221264225
South Lahontan,7,da.sq.mi + relief.ft.8 + precip.in.8,da.sq.mi,0.7043125480885002,0.559961032804386,1.2577885010340375,0.2768893540733441
South Lahontan,7,da.sq.mi + relief.ft.8 + precip.in.8,relief.ft.8,-0.82347412981243,4.165017912861687,-0.19771202598421478,0.8529113070536049
South Lahontan,7,da.sq.mi + relief.ft.8 + precip.in.8,precip.in.8,5.966729702485445,3.19018934030653,1.870337169991337,0.1347785364889441
South Lahontan,7,da.sq.mi + slope.pct.8 + precip.in.8,(Intercept),-6.996967966176224,3.6851812739733436,-1.898676739619956,0.13043780740789662
South Lahontan,7,da.sq.mi + slope.pct.8 + precip.in.8,da.sq.mi,0.7165655538926308,0.5672859351832559,1.2631470471080015,0.27514768224068953
South Lahontan,7,da.sq.mi + slope.pct.8 + precip.in.8,slope.pct.8,-0.5457791081672196,2.3478813958531926,-0.23245599591664634,0.8275932086999724
South Lahontan,7,da.sq.mi + slope.pct.8 + precip.in.8,precip.in.8,6.3813030629264444,3.295992415961683,1.9360794132969963,0.12493901458287852
North Lahontan and Desert,6,da.sq.mi,(Intercept),-1.2631556990988613,0.25828774821612277,-4.890497934272567,1.3831206443194325e-5
North Lahontan and Desert,6,da.sq.mi,da.sq.mi,1.0358607426112787,0.1387781279284554,7.464149848925029,2.4007018202229368e-9
North Lahontan and Desert,6,da.sq.mi + elev.ft.8,(Intercept),-26.81663944564944,10.893615498161907,-2.4616840432980442,0.017915618177822945
North Lahontan and Desert,6,da.sq.mi + elev.ft.8,da.sq.mi,1.1500223979355013,0.1408469916695848,8.165047647118776,2.770702507462697e-10
North Lahontan and Desert,6,da.sq.mi + elev.ft.8,elev.ft.8,6.6688127813719005,2.8422330726002993,2.346328612407125,0.02363768654867189
North Lahontan and Desert,6,da.sq.mi + relief.ft.8,(Intercept),-2.779898336062814,5.138522991119716,-0.5409917092648946,0.5913050850825545
