DWRName,DWRCode,model.name,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,all.coeff.sign
South Lahontan,7,da.sq.mi,0.19647403528133076,0.06255304116155247,1.0572380479900774,1.4670891339531533,0.2713423215185502,2,-10.64605911580615,27.2921182316123,27.530442856651806,6.706513740707213,6,0
South Lahontan,7,da.sq.mi + elev.ft.8,0.49131262799399733,0.2878376791915963,0.9214863959156312,2.414609910879603,0.18455566959752184,3,-8.817355628979346,25.634711257958692,25.952477424678037,4.245685889287897,5,0
South Lahontan,7,da.sq.mi + relief.ft.8,0.24073527975389702,-0.06297060834454404,1.1257969300208446,0.7926592443142448,0.5023229856783188,3,-10.419423085557334,28.838846171114668,29.156612337834012,6.337093638221791,5,0
South Lahontan,7,da.sq.mi + slope.pct.8,0.21828825561248513,-0.09439644214252074,1.142317337030079,0.6981098121517857,0.5402771397777008,3,-10.535965356197186,29.071930712394373,29.389696879113714,6.524444492397456,5,0
South Lahontan,7,da.sq.mi + precip.in.8,0.5910012441335311,0.42740174178694357,0.8262746773119376,3.612488031176816,0.10698058473191314,3,-7.9448695756826915,23.889739151365383,24.207505318084728,3.413649211834733,5,0
South Lahontan,7,da.sq.mi + elev.ft.8 + precip.in.8,0.5997155236930829,0.29950216646289507,0.9139087389506625,1.9976310488851854,0.25671780746323386,4,-7.858723059490936,25.717446118981872,26.11465382738105,3.3409167325215607,4,0
South Lahontan,7,da.sq.mi + relief.ft.8 + precip.in.8,0.5949595069309083,0.2911791371290895,0.9193220520396361,1.958518607766032,0.2622682002795139,4,-7.905969299076005,25.81193859815201,26.20914630655119,3.3806121414654697,4,0
South Lahontan,7,da.sq.mi + slope.pct.8 + precip.in.8,0.5964527428479603,0.29379229998393064,0.917625885497413,1.9706993659423049,0.2605208792893843,4,-7.8911955148909545,25.78239102978191,26.179598738181088,3.3681490629396453,4,0
North Lahontan and Desert,6,da.sq.mi,0.5587359238944011,0.548707194892001,0.7955406261395332,55.71353296720751,2.4007018202229455e-9,2,-53.72704731027389,113.45409462054778,118.94001881001506,27.84693506489315,44,1
North Lahontan and Desert,6,da.sq.mi + elev.ft.8,0.6088185885083851,0.5906241042529612,0.7576947739022935,33.46171180020619,1.722390027762166e-9,3,-50.9561892893429,109.9123785786858,117.22694416464219,24.686358927150447,43,1
North Lahontan and Desert,6,da.sq.mi + relief.ft.8,0.5596305012943449,0.5391481990289655,0.8039217941922007,27.32263658857693,2.1982164962053454e-8,3,-53.6803719389,115.3607438778,122.67530946375638,27.790480800619903,43,0
North Lahontan and Desert,6,da.sq.mi + slope.pct.8,0.5730232051894014,0.5531638193842572,0.7916028032133186,28.85402453085799,1.131597201421991e-8,3,-52.97002896232291,113.94005792464581,121.25462351060219,26.945304916372912,43,0
North Lahontan and Desert,6,da.sq.mi + precip.in.8,0.6510381074386737,0.6348073217381469,0.7156393109197039,40.11131188908145,1.4781791674374613e-10,3,-48.32938931532074,104.65877863064148,111.97334421659787,22.02200380334603,43,1
North Lahontan and Desert,6,da.sq.mi + elev.ft.8 + precip.in.8,0.6511095019618849,0.6261887521020195,0.724034633079478,26.12720345989631,1.0707696619710115e-9,4,-48.32468323689583,106.64936647379166,115.79257345623714,22.01749829573844,42,0
North Lahontan and Desert,6,da.sq.mi + relief.ft.8 + precip.in.8,0.651911310253606,0.6270478324145778,0.7232021786246133,26.21963485857568,1.0208489004547964e-9,4,-48.271764586903984,106.54352917380797,115.68673615625345,21.96689842903026,42,0
North Lahontan and Desert,6,da.sq.mi + slope.pct.8 + precip.in.8,0.6513406193653165,0.6264363778914106,0.7237947802789532,26.15380275877002,1.0561470519632249e-9,4,-48.30944217489879,106.61888434979758,115.76209133224306,22.002913126280443,42,0
San Francisco Bay,2,da.sq.mi,0.2371525589578979,0.08458307074947746,1.311588143924113,1.5543904731064657,0.2677089003891098,2,-10.65358799009712,27.30717598019424,27.14490642736018,8.6013172964115,5,0
San Francisco Bay,2,da.sq.mi + elev.ft.8,0.7177170177106457,0.5765755265659684,0.8920228726063089,5.085088813288431,0.07968368209017188,3,-7.1740699410898605,22.348139882179723,22.131780478400973,3.1828192210112443,4,0
San Francisco Bay,2,da.sq.mi + relief.ft.8,0.7177170177106454,0.5765755265659682,0.8920228726063092,5.085088813288425,0.07968368209017201,3,-7.174069941089863,22.348139882179726,22.13178047840098,3.1828192210112465,4,0
San Francisco Bay,2,da.sq.mi + slope.pct.8,0.7177170177106461,0.5765755265659691,0.8920228726063082,5.08508881328844,0.0796836820901717,3,-7.174069941089856,22.348139882179712,22.131780478400966,3.18281922101124,4,0
San Francisco Bay,2,da.sq.mi + precip.in.8,0.7177170177106464,0.5765755265659697,0.8920228726063077,5.085088813288447,0.07968368209017153,3,-7.1740699410898525,22.348139882179705,22.13178047840096,3.1828192210112367,4,0
San Francisco Bay,2,da.sq.mi + elev.ft.8 + precip.in.8,0.7177170177106457,0.5765755265659684,0.8920228726063089,5.085088813288431,0.07968368209017188,3,-7.1740699410898605,22.348139882179723,22.131780478400973,3.1828192210112443,4,0
San Francisco Bay,2,da.sq.mi + relief.ft.8 + precip.in.8,0.7177170177106454,0.5765755265659682,0.8920228726063092,5.085088813288425,0.07968368209017201,3,-7.174069941089863,22.348139882179726,22.13178047840098,3.1828192210112465,4,0
San Francisco Bay,2,da.sq.mi + slope.pct.8 + precip.in.8,0.7177170177106461,0.5765755265659691,0.8920228726063082,5.08508881328844,0.0796836820901717,3,-7.174069941089856,22.348139882179712,22.131780478400966,3.18281922101124,4,0
San Joaquin and Tulare,5,da.sq.mi,0.3850158708319934,0.3761030573657904,1.1187484935445795,43.19801735916016,7.84729642275636e-9,2,-107.69723686357977,221.39447372715955,228.1825133582835,86.36027523477036,69,1
San Joaquin and Tulare,5,da.sq.mi + elev.ft.8,0.5782033907214923,0.5657976080956539,0.9333018798660744,46.607570691850135,1.7926886290231187e-13,3,-94.31113713023713,196.62227426047426,205.67299376863951,59.231563129385286,68,1
San Joaquin and Tulare,5,da.sq.mi + relief.ft.8,0.5765428338298085,0.5640882112953911,0.935137217668704,46.291473887432275,2.0489084445445047e-13,3,-94.4506215009823,196.9012430019646,205.95196251012985,59.46474987910322,68,1
San Joaquin and Tulare,5,da.sq.mi + slope.pct.8,0.533610538912006,0.5198932018211828,0.981397534443898,38.90044659389333,5.463321505067526e-12,3,-97.8788093557168,203.7576187114336,212.80833821959885,65.49359620165421,68,1
San Joaquin and Tulare,5,da.sq.mi + precip.in.8,0.6151039520425275,0.6037834800437785,0.8915430614564654,54.335539375963386,7.974020783402004e-15,3,-91.06111437408634,190.1222287481727,199.17294825633795,54.04973406931934,68,1
San Joaquin and Tulare,5,da.sq.mi + elev.ft.8 + precip.in.8,0.6263287684267543,0.6095972207443703,0.8849780216827096,37.43400074615852,2.513647975631456e-14,4,-90.01042294464638,190.02084588929276,201.33424527449932,52.47346862371664,67,0
San Joaquin and Tulare,5,da.sq.mi + relief.ft.8 + precip.in.8,0.6315239733857644,0.6150250468209479,0.8788045002802886,38.27667035820808,1.5787860167139395e-14,4,-89.51339816511991,189.02679633023982,200.34019571544638,51.743922430763476,67,0
San Joaquin and Tulare,5,da.sq.mi + slope.pct.8 + precip.in.8,0.6197626927044029,0.6027371416314657,0.8927194897970314,36.40191674556374,4.482800322062578e-14,4,-90.6288045389269,191.2576090778538,202.57100846306037,53.395521860052625,67,0
Sacramento River,4,da.sq.mi,0.5007916368864985,0.4941355253783185,0.8109286408174234,75.23786767560176,6.212222553190142e-13,2,-92.10775891088132,190.21551782176263,197.2469340873237,49.320394537349536,75,1
Sacramento River,4,da.sq.mi + elev.ft.8,0.5040117633973811,0.49060667592163465,0.8137521952927129,37.598543411915735,5.4005865093111906e-12,3,-91.85861154972504,191.71722309945008,201.0924447868648,49.002255015434514,74,0
Sacramento River,4,da.sq.mi + relief.ft.8,0.5659047854581576,0.5541724823624321,0.7612879998663664,48.23475670896522,3.896233120195348e-14,3,-86.72701155569882,181.45402311139765,190.8292447988124,42.88739698679942,74,1
Sacramento River,4,da.sq.mi + slope.pct.8,0.5079048686593641,0.4946050002447524,0.8105522564235252,38.18871381474414,4.034739737596061e-12,3,-91.55522555404572,191.11045110809144,200.48567279550616,48.61762706910185,74,0
Sacramento River,4,da.sq.mi + precip.in.8,0.6175737602308712,0.6072379159127866,0.7145462208368103,59.75068327512501,3.5831441595045846e-16,3,-81.847979670381,171.695959340762,181.07118102817674,37.78264632670041,74,1
Sacramento River,4,da.sq.mi + elev.ft.8 + precip.in.8,0.6245937978841813,0.6091661457424353,0.7127900628280642,40.48534359898364,1.616459230225989e-15,4,-81.13468431462566,172.26936862925132,183.98839573851973,37.08908617764981,73,0
Sacramento River,4,da.sq.mi + relief.ft.8 + precip.in.8,0.6177204393102108,0.6020103203777538,0.7192857458236092,39.31990852303485,3.1179514303530557e-15,4,-81.8332102136293,173.6664204272586,185.385447536527,37.768154842586874,73,0
Sacramento River,4,da.sq.mi + slope.pct.8 + precip.in.8,0.6669973271513109,0.6533122858013647,0.671328020413666,48.739153218118425,2.100342036215198e-17,4,-76.52014635398531,163.04029270797062,174.75931981723903,32.8997357024548,73,1
North Coast,1,da.sq.mi,0.6288018752740746,0.621663449798576,0.7446510874086744,88.0869146049546,8.865729428986093e-13,2,-59.682358432274,125.364716864548,131.33166900424084,28.834272582903903,52,1
North Coast,1,da.sq.mi + elev.ft.8,0.6457164827217718,0.6318230114559589,0.7345849034697443,46.476252792969156,3.2244018741042298e-12,3,-58.423120008982345,124.84624001796469,132.80217620422178,27.52036400068833,51,0
North Coast,1,da.sq.mi + relief.ft.8,0.6472390577895906,0.6334052953499667,0.7330047213940998,46.78691430580814,2.8890336136629436e-12,3,-58.306834279492094,124.61366855898419,132.5696047452413,27.402092000888135,51,0
North Coast,1,da.sq.mi + slope.pct.8,0.6320074244733339,0.6175763430801313,0.7486624537959443,43.79487629880777,8.489770366410457e-12,3,-59.44818240461858,126.89636480923716,134.85230099549426,28.58526895591199,51,0
North Coast,1,da.sq.mi + precip.in.8,0.6340789396965524,0.6197290941944564,0.7465522829889948,44.18716142999148,7.351548810387934e-12,3,-59.295763763437975,126.59152752687595,134.54746371313306,28.424355873040092,51,0
North Coast,1,da.sq.mi + elev.ft.8 + precip.in.8,0.6548595334812453,0.6341511054901199,0.7322587195062156,31.62285103253077,1.3187524290165284e-11,4,-57.71717786438674,125.43435572877348,135.37927596159486,26.810141614644124,50,0
North Coast,1,da.sq.mi + relief.ft.8 + precip.in.8,0.650790342581383,0.6298377631362659,0.7365627197127271,31.060153919762328,1.762569675110825e-11,4,-58.033644754299885,126.06728950859977,136.01220974142115,27.126232003530472,50,0
North Coast,1,da.sq.mi + slope.pct.8 + precip.in.8,0.6341335887235323,0.6121816040469442,0.7539245425794515,28.887300991961787,5.581494000499301e-11,4,-59.291731106994675,128.58346221398935,138.52838244681072,28.420110795181756,50,0
