NFDName,NFDCode,model.name,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,all.coeff.sign,best.adj.r.squared,best.sigma,best.AIC
Xeric,3,da.sq.mi,0.4207162696778451,0.4149234323746235,1.128089751560462,72.62697839690298,1.68945121134837e-13,2,-156.01541951824586,318.0308390364917,325.90575747634455,127.25864875757448,100,1,0,0,0
Xeric,3,da.sq.mi + elev.ft.8,0.4455720793894942,0.4343715153367568,1.1091823172432507,39.78121791827025,2.0908944021223925e-13,3,-153.77878472483224,315.55756944966447,326.05746070280156,121.79825587562563,99,1,0,0,0
Xeric,3,da.sq.mi + precip.in.8,0.4751715632267468,0.46456896854445895,1.0791680276989397,44.816535712766594,1.3831180204374283e-14,3,-150.9806500198286,309.9613000396572,320.4611912927943,115.29575956875435,99,1,0,0,0
Xeric,3,da.sq.mi + elev.ft.8 + precip.in.8,0.5354191796056366,0.5211973177568295,1.0205060615027535,37.6476150097428,2.8505255517251353e-16,4,-144.76191990637886,299.52383981275773,312.6487038791791,102.06039691325844,98,1,1,1,1
Interior Mountains,2,da.sq.mi,0.6168092634969177,0.6136423979059831,0.6948486480666648,194.76963760716248,5.741366138122098e-27,2,-128.74168902997116,263.4833780599423,271.91993112605957,58.420571890128684,121,1,0,0,0
Interior Mountains,2,da.sq.mi + relief.ft.8 + precip.in.8,0.6405635295043889,0.6315021058784491,0.6785986495394958,70.69126838642366,2.5540786484002635e-26,4,-124.80597030072052,259.611940601441,273.67286237830314,54.799039131662454,119,1,1,1,1
North Coastal Mountains,1,da.sq.mi,0.5771195437331269,0.5653728643923805,0.6789999381166067,49.130441633086434,3.191784523234079e-8,2,-38.18128584026873,82.36257168053746,87.27533015971662,16.59747297464481,36,1,0,0,0
North Coastal Mountains,1,da.sq.mi + relief.ft.8,0.6467154275165775,0.626527737660382,0.6294199325476395,32.03513785496865,1.2364648439607243e-8,3,-34.7647886176222,77.5295772352444,84.07992187414995,13.865930802089627,35,1,0,0,0
North Coastal Mountains,1,da.sq.mi + slope.pct.8,0.6663761637637873,0.6473119445502894,0.6116552273340311,34.9542856332652,4.539403181758238e-9,3,-33.67685304405343,75.35370608810686,81.9040507270124,13.094274099376582,35,1,0,0,0
North Coastal Mountains,1,da.sq.mi + elev.ft.8 + precip.in.8,0.6647204718719362,0.6351369840959306,0.6221229714821578,22.469307098099268,3.359546976494284e-8,4,-33.7709121021089,77.5418242042178,85.72975500284973,13.159257715956848,34,1,0,0,0
North Coastal Mountains,1,da.sq.mi + slope.pct.8 + precip.in.8,0.7100101635959586,0.6844228250897197,0.5785809201904991,27.748496133071324,2.9380817636514923e-9,4,-31.013656408135052,72.0273128162701,80.21524361490204,11.38169996108848,34,1,1,1,1
